CS100_1,CS100,"Freshman Orientation

Introduction to Computer Science as a field and career for computer science majors. Overview of the field and specific examples of problem areas and methods of solution.
",[],1
CS101_3,CS101,"Intro Computing: Engrg & Sci

Fundamental principles, concepts, and methods of computing, with emphasis on applications in the physical sciences and engineering. Basic problem solving and programming techniques; fundamental algorithms and data structures; use of computers in solving engineering and scientific problems. Intended for engineering and science majors. Prerequisite: MATH 220 or MATH 221. This course satisfies the General Education Criteria for:Quantitative Reasoning II","['MATH220', 'MATH221']",3
CS102_4,CS102,"Little Bits to Big Ideas

Same as INFO 102. See INFO 102.
",[],4
CS105_3,CS105,"Intro Computing: Non-Tech

Computing as an essential tool of academic and professional activities. Functions and interrelationships of computer system components: hardware, systems and applications software, and networks. Widely used application packages such as spreadsheets and databases. Concepts and practice of programming for the solution of simple problems in different application areas. Intended for non-science and non-engineering majors. Prerequisite: MATH 112. This course satisfies the General Education Criteria for:Quantitative Reasoning I",['MATH112'],3
CS107_4,CS107,"Data Science Discovery

Same as IS 107 and STAT 107. See STAT 107.This course satisfies the General Education Criteria for:Quantitative Reasoning I",[],4
CS124_3,CS124,"Introduction to Computer Science I

Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Credit is not given for both CS 124 and CS 125. Prerequisite: Three years of high school mathematics or MATH 112.
",['MATH112'],3
CS125_4,CS125,"Introduction to Computer Science

Basic concepts in computing and fundamental techniques for solving computational problems. Intended as a first course for computer science majors and others with a deep interest in computing. Credit is not given for both CS 125 and CS 124. Prerequisite: Three years of high school mathematics or MATH 112. This course satisfies the General Education Criteria for:Quantitative Reasoning I",['MATH112'],4
CS126_3,CS126,"Software Design Studio

Fundamental principles and techniques of software development. Design, documentation, testing, and debugging software, with a significant emphasis on code review. Credit is not given for both CS 242 and CS 126. Prerequisite: CS 125. For majors only.
",['CS125'],3
CS128_3,CS128,"Introduction to Computer Science II

Continuation of CS 124. More advanced concepts in computing and techniques and approaches for solving computational problems. Prerequisite: CS 124.
",['CS124'],3
CS173_3,CS173,"Discrete Structures

Discrete mathematical structures frequently encountered in the study of Computer Science. Sets, propositions, Boolean algebra, induction, recursion, relations, functions, and graphs. Credit is not given for both CS 173 and MATH 213. Prerequisite: One of CS 124, CS 125, ECE 220; one of MATH 220, MATH 221.
","['CS124', 'CS125', 'ECE220', 'MATH220', 'MATH221']",3
CS196_1,CS196,"Freshman Honors

Offered for honors credit in conjunction with other 100-level computer science courses taken concurrently. A special examination may be required for admission to this course. May be repeated. Prerequisite: Concurrent registration in another 100-level computer science course (see Schedule).
",[],1
CS199_0,CS199,"Undergraduate Open Seminar in Computer Science

Topics vary. Approved for Letter and S/U grading. May be repeated.
",[],0
CS199_1,CS199,"Undergraduate Open Seminar in Computer Science

Topics vary. Approved for Letter and S/U grading. May be repeated.
",[],1
CS199_2,CS199,"Undergraduate Open Seminar in Computer Science

Topics vary. Approved for Letter and S/U grading. May be repeated.
",[],2
CS199_3,CS199,"Undergraduate Open Seminar in Computer Science

Topics vary. Approved for Letter and S/U grading. May be repeated.
",[],3
CS199_4,CS199,"Undergraduate Open Seminar in Computer Science

Topics vary. Approved for Letter and S/U grading. May be repeated.
",[],4
CS199_5,CS199,"Undergraduate Open Seminar in Computer Science

Topics vary. Approved for Letter and S/U grading. May be repeated.
",[],5
